CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Total_Trans_Amt,Total_Trans_Ct
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,1756,32
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,1042,23
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,1444,28
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,1741,27
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,1719,27
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,1217,27
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1140,40
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,1878,30
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,705,19
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,1946,38
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,1414,35
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,602,15
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,1052,32
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,1295,40
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,1424,29
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1359,25
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,1168,27
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,1097,33
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,691,15
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,1316,28
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,1276,26
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,1289,23
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1293,32
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,1353,35
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,1132,28
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,1670,17
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,837,15
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,1550,41
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,1540,36
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,1256,21
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,1394,35
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,1341,24
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,1289,33
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,1112,23
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,2339,57
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1468,23
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,1334,35
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,1457,41
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,1603,29
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,615,12
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,1068,20
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,1590,27
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,1531,35
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,1212,31
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,1237,32
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,1413,14
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,1516,29
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,1276,21
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,1564,35
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,1465,34
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,1286,29
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1312,20
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,1673,32
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,1313,30
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,1609,42
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,1158,19
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,836,18
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,1289,22
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,1487,26
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,1259,33
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,1298,15
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,1226,34
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,1566,37
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1022,21
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,1235,30
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,1951,44
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,1047,31
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,1342,32
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,1107,21
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1251,35
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,1305,24
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1388,37
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,1235,18
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2089,36
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1626,25
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,1111,24
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,1553,38
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,1064,13
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1243,29
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,1659,38
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,1594,47
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,1268,42
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,1304,24
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1368,30
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,720,23
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1521,29
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,1137,30
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,978,16
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1221,16
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,1565,28
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1578,34
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1493,32
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1178,27
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,991,26
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,2560,42
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,1657,29
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,1204,19
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,673,18
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,1131,18
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,1576,25
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,1217,20
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,530,10
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,739,16
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,1617,31
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,1592,34
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,4,1343,30
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1303,39
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1351,22
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,5,1910,32
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,1298,22
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,1087,29
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,1439,26
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,1238,28
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1716,29
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1099,27
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,4,1058,24
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,1285,29
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,1651,28
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,1152,31
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,1767,38
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,1039,24
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,1130,28
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1645,30
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1413,29
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,1218,23
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,597,17
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2184,53
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,4,1592,37
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,1388,28
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,757,20
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1504,34
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1503,34
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,1105,28
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,2398,47
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,1661,32
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,1421,22
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,999,28
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,1387,18
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,1243,24
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,1860,36
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,1502,25
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1460,50
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,6,1348,27
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1087,33
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,5,1226,33
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,5,1230,28
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1555,32
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,1827,24
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,5,1376,35
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,1771,37
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,1873,52
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1679,42
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,2,1002,22
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,3,1344,21
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,1461,42
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1,760,21
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,4,1428,22
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5,1777,42
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,1302,27
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,4,1483,41
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,1060,27
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,1330,32
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,1229,27
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,886,27
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,844,24
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1450,37
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,2,2311,48
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1378,26
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,3,1033,26
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,1523,40
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,4,1374,37
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,5,1080,21
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,3,1234,24
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,5,1600,32
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30,5,1155,32
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,6,1353,33
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,1546,25
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43,2,1590,43
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1448,22
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,1271,24
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,1223,20
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,1117,29
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,4,994,24
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32,4,1468,26
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,1658,38
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1368,38
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,4,1218,18
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,702,12
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,46,2,1516,21
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,1310,26
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,1767,50
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,6,933,25
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48,4,1512,27
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,829,17
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3,1120,27
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,1506,33
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34,4,1384,36
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33,2,817,30
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2094,25
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,2,815,21
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,1,510,24
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,1377,49
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,1193,33
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,6,1287,36
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,701,19
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4,1770,25
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5,1409,35
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1354,28
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,5,1765,34
719731458,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,6,1192,27
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,687,17
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3,1227,15
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,4,1737,26
715432608,Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,36,4,1348,34
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,1435,38
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2,1321,28
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,1479,29
788950158,Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,22,2,1283,39
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,689,23
710620383,Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,35,6,965,17
778661358,Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,36,2,1541,40
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5,1258,23
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,1339,20
718464258,Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,25,2,1007,22
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,6,1387,33
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,960,18
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3,1119,18
807226683,Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,43,6,1642,41
717806133,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,5,1382,31
720615708,Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,6,1232,32
714511758,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,40,4,1542,16
715050408,Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36,4,1094,32
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2,1217,30
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,744,18
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23,4,1614,33
715996983,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,5,1747,31
773466258,Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,3,1144,22
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37,4,1575,34
719117433,Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,36,4,1463,24
716451183,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5,1706,21
718621608,Attrited Customer,54,F,2,High School,Married,Unknown,Blue,44,3,909,14
715085733,Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,52,3,2434,33
788977833,Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,2,1876,41
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,3,1000,25
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,1139,30
709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40,6,799,21
709879458,Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,46,2,1881,45
715120608,Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37,2,1273,27
770632758,Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,36,2,1328,33
779078733,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,3,1579,36
771742533,Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36,5,937,28
720250158,Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,33,6,1749,37
716458983,Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36,5,1424,29
713747733,Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,5,2011,41
712270158,Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52,5,1208,31
789562383,Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,30,2,1259,24
754897008,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,39,2,1319,26
819700533,Existing Customer,50,M,0,High School,Single,$120K +,Silver,45,5,949,27
712890408,Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,5,1338,30
720248208,Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37,6,1554,26
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,33,2,1350,32
717401883,Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,5,1694,44
